uidA,uidB,ConfidenceA,ConfidenceB,PPI_type
Q00653,P41279,76.08,74.45,1
Q92844,P11021,60.39,90.33,1
Q3ZCM7,Q13233,91.94,59.63,1
P20333,P11021,67.53,90.33,1
Q9UHD2,P62913,89.88,92.01,1
Q14257,Q13077,78.27,79.79,1
Q9BZ29,A0A024R5Z3,79.57,82.02,1
Q60809,P78543,91.78,86.58,1
P20333,P62249,67.53,93.87,1
A0A024R8H5,A0A024R8H5,87.27,87.27,1
P11142,P20333,89.18,67.53,1
P50616,A0A024R542,67.09,,1
P23396,Q99558,91.34,61.29,1
P41279,A0A384P5G6,74.45,84.94,1
A8K6K3,P0DPH7,77.07,91.52,1
Q14164,P02786,88.66,86.81,1
P47897,Q99558,89.74,61.29,1
P15923,P50553,51.7,68.87,1
Q92844,Q92844,60.39,60.39,1
Q99759,P23508,67.2,75.5,1
P07948,Q99759,83.73,67.2,1
Q00653,Q8N163,76.08,68.6,1
P11142,A8K6K3,89.18,77.07,1
P19438,A8K3L7,71.68,89.31,1
P47897,A0A1U9X974,89.74,,1
B2ZZ89,Q99759,,,1
P20333,A0A024R1Q8,67.53,92.61,1
P19438,Q15758,71.68,79.59,1
P07814,Q9Y572,83.43,67.62,1
P20333,P0DPH7,67.53,91.52,1
P08670,Q15628,78.28,84.91,1
P05141,Q13233,91.43,59.63,1
Q00653,P33778,76.08,87.64,1
Q8K298,A0A024RA49,59.77,54.49,1
G4XH65,P60763,65.17,93.83,1
P50616,A5YKK6,67.09,75.6,1
Q9Y4K3,P04350,86.19,92.24,1
Q99558,A0A024R9D3,61.29,85.45,1
A0A024R206,P46379,55.75,58.55,1
Q9BZF9,Q99759,74.39,67.2,1
O43318-2,P21333,,,1
Q9H9A5,P50616,79.85,67.09,1
Q00987,G4XH65,63,65.17,1
Q07021,Q04864,75.82,66.88,1
Q9Y6K9,Q99558,82.83,61.29,1
Q9Y6K9,P08670,82.83,78.28,1
Q9H9Y6,Q15653,92.49,77.34,1
Q15653,P62875,77.34,93.48,1
Q13077,A0A384P5G6,79.79,84.94,1
F1D8T1,D9ZGF1,73.23,49.2,1
O15212,Q99759,94.98,67.2,1
Q00653,A0A384P5G6,76.08,84.94,1
Q9Y6K9,Q9UHD2,82.83,89.88,1
Q3ZCQ8,P25963,80.56,82.58,1
P19438,P25705,71.68,88.61,1
A0A024R8H5,A0A1U9X7W7,87.27,89.35,1
A0A024R2Q3,A0A024R2H1,79.9,62.44,1
Q13077,A0A384P5U2,79.79,77.99,1
Q00653,O95831,76.08,85.79,1
Q9Y4K3,Q9BVA1,86.19,91.95,1
P19105,Q9Y572,84.14,67.62,1
Q03252,A0A384MQX1,80.03,74.05,1
O14974,Q99759,60.37,67.2,1
Q8N163,Q9NYJ8,68.6,53.03,1
E9KL44,Q9Y4K3,91.62,86.19,1
A0A024RB31,Q9Y572,79.59,67.62,1
A0A024RB22,Q99759,62.42,67.2,1
P63261,Q15653,95.34,77.34,1
A0A024RAZ7,Q99558,65.39,61.29,1
Q9UDY4,Q99759,82.32,67.2,1
A0A024R1N6,P23760,51.53,65.22,1
Q92844,P35527,60.39,66.2,1
P0DPH7,Q9Y572,91.52,67.62,1
Q13077,P04350,79.79,92.24,1
P47756,Q99759,89.7,67.2,1
P11142,Q04864,89.18,66.88,1
P0DPH7,A0A024QZU0,91.52,65.18,1
P11388,A0A024R2Q3,76.41,79.9,1
A8K6K3,A0A384NKX5,77.07,88.81,1
P07437,Q13233,91.86,59.63,1
Q15006,P20333,94.17,67.53,1
A0A1U9X974,O15460,,,1
A0A024RBD8,P50616,57.39,67.09,1
Q08378,Q9Y6K9,69.16,82.83,1
Q92844,Q9P2J5,60.39,90.72,1
A0A024R2A4,P31948,63.72,90.01,1
Q9ULD6,A0A024QZF7,67.93,82.44,1
P62258,Q9Y572,92.9,67.62,1
Q96NE9,P81605,67.41,64.52,1
P14921,P14921,65.45,65.45,1
O60729,A0A384N605,80.97,96.71,1
Q9Y6K9,Q00610,82.83,78.04,1
Q00653,P18124,76.08,94.06,1
O14744,Q9NQ92,93.47,62.85,1
P11142,O43318-2,89.18,,1
Q9Y6K9,P51398,82.83,85.26,1
P60660,Q99759,95.37,67.2,1
A0A384NKX5,P20333,88.81,67.53,1
O43747,Q15276,84.54,78.9,1
Q13233,Q13451,59.63,92.88,1
Q9Y6K9,P42677,82.83,92.78,1
P05141,A0A024QZU0,91.43,65.18,1
P04350,Q9Y572,92.24,67.62,1
A0A024RCR3,Q7L5N1,67.61,86.49,1
Q9Y572,A0A384P5G6,67.62,84.94,1
Q9UHD2,P25705,89.88,88.61,1
E9KL44,Q13233,91.62,59.63,1
O43318-2,Q00610,,,1
P56192,Q99759,90.47,67.2,1
P63261,O14920,95.34,86.45,1
Q00610,O14920,78.04,86.45,1
Q9Y6K9,A0A024RCA7,82.83,67.98,1
Q99558,P62861,61.29,90.34,1
P52272,Q92844,56.56,60.39,1
Q9UHD2,P50990,89.88,87.9,1
Q9Y6K9,Q9P2J5,82.83,90.72,1
A0A024R2C0,P50553,46.76,68.87,1
P19438,Q00610,71.68,78.04,1
P20333,P27708,67.53,87.41,1
P10275,A0A384MEF1,58.79,88.33,1
Q13233,P57678,59.63,84.73,1
A8K6K3,P07437,77.07,91.86,1
Q9Y572,P21333,67.62,77.38,1
A0A024R8H5,O43318,87.27,69.95,1
Q00653,Q15653,76.08,77.34,1
Q15653,E5KNY5,77.34,,1
A0A2X0SFB3,A0A384MDY0,77.99,77.43,1
Q14164,P19105,88.66,84.14,1
Q9NYJ8,P21333,53.03,77.38,1
Q00653,P0DPH7,76.08,91.52,1
Q9Y6K9,A0A024RB17,82.83,75.03,1
A0A384NKX5,Q13233,88.81,59.63,1
O75626,A0A140VKA6,56.24,80.79,1
Q00653,A0A024R4Q8,76.08,88.76,1
Q00653,P57678,76.08,84.73,1
P19438,P19105,71.68,84.14,1
A0A0S2Z4A5,P25963,79.9,82.58,1
Q9Y3T9,K7PPA8,70.7,71.76,1
P41279,Q8NFZ5,74.45,81.84,1
P25685,Q99759,83.66,67.2,1
P25963,P11021,82.58,90.33,1
Q99558,Q00839,61.29,65.78,1
A0A024RDS1,Q13233,83.82,59.63,1
Q9NRG4,A0A024RD59,97.35,60.38,1
P08670,Q13233,78.28,59.63,1
P08670,Q9Y572,78.28,67.62,1
P78371,Q99759,89.67,67.2,1
Q9UKB1,Q15653,86.14,77.34,1
A0A1U9X974,A0A140VJL7,,,1
P20333,A0A0S2Z3L2,67.53,85.05,1
Q9UNE7,Q99759,89.79,67.2,1
A0A024R8P8,Q9NZZ3,94.61,79.85,1
Q9BVA1,Q99759,91.95,67.2,1
Q96NL8,P04632,76.01,79.16,1
A0A024RDL1,Q99759,90.13,67.2,1
P20333,Q00839,67.53,65.78,1
A0A024R6B5,Q99759,89.38,67.2,1
Q8TD23,Q9Y4K3,71.02,86.19,1
P07737,Q7Z5R6,95.81,73.44,1
Q9BUF5,Q9Y4K3,92.16,86.19,1
Q00653,P61247,76.08,84.38,1
Q9NQP4,Q99759,88.04,67.2,1
O95373,Q15628,88.27,84.91,1
P0DPH7,A0A0S2Z4Z8,91.52,75.22,1
P20333,A0A024R050,67.53,74.16,1
A0A024R8H5,P0DPH7,87.27,91.52,1
A0A384P5G6,Q99759,84.94,67.2,1
O14920,O14920,86.45,86.45,1
P62263,P20333,90.01,67.53,1
Q9UFF9,Q9ULM6,90.83,90.02,1
A0A024R4Q8,Q01201,88.76,69.8,1
Q9Y618,P10276,40.78,79.42,1
Q9NYJ8,Q9NYJ8,53.03,53.03,1
Q9NPP4,Q9NPP4,85.16,85.16,1
Q99558,A0A024QZD1,61.29,95.4,1
Q9NYJ8,P04350,53.03,92.24,1
P19438,Q16695,71.68,86.81,1
Q9NVI7,P20333,79.47,67.53,1
Q9Y3E7,A0A024R794,81.92,93.34,1
A0A0S2Z3G9,Q9Y572,83.4,67.62,1
P41279,P41279,74.45,74.45,1
O15111,A0A024R7B7,84.64,79.77,1
Q9H444,Q12873-3,79.96,,1
Q14164,A0A024RD80,88.66,82.98,1
Q9NYF8,P48962,47.33,92.48,1
Q9Y6K9,A0A024R3X4,82.83,86.99,1
P49842,Q15427,70.6,73.85,1
P20333,Q02978,67.53,86.66,1
O75477,Q9Y4K3,84.94,86.19,1
Q9UHD2,A0A024RDL1,89.88,90.13,1
O00327,A2I2P5,67.04,59.48,1
P08670,Q99759,78.28,67.2,1
Q9Y6K9,P41252,82.83,88.87,1
O14920,P21333,86.45,77.38,1
P07437,Q9Y572,91.86,67.62,1
P49368,Q13233,89.09,59.63,1
Q9Y230,O43318-2,84.33,,1
A0A024R2Q3,A1LPH3,79.9,69.31,1
Q15653,A0A384P5G6,77.34,84.94,1
A0A0X8GLL6,A0A0X8GLL6,96.4,96.4,1
A0A384N5Z8,Q99558,64.85,61.29,1
P25963,Q00610,82.58,78.04,1
Q9Y6K9,Q9H853,82.83,71.46,1
A3RJH1,Q01201,84.34,69.8,1
O95831,Q99759,85.79,67.2,1
P55795,P50616,62.89,67.09,1
O95163,P25963,84.13,82.58,1
Q9P0K7,Q9Y572,73.58,67.62,1
D9YZV4,Q9Y572,90.21,67.62,1
P25963,Q71UM5,82.58,93.16,1
B2RDW1,P19438,89.19,71.68,1
P63261,Q9Y4K3,95.34,86.19,1
P52907,Q9Y572,93.51,67.62,1
O15111,P60660,84.64,95.37,1
A0A024R3C7,A0A024R3C7,,,1
Q9Y6K9,B2R4W8,82.83,91.81,1
Q15653,P0CG47,77.34,93.71,1
Q9Y6K9,O95373,82.83,88.27,1
G4XH65,Q96HI0,65.17,56.7,1
P18077,Q15653,95.98,77.34,1
P25963,P0DPH7,82.58,91.52,1
O15111,Q01201,84.64,69.8,1
P50616,P22626,67.09,70.68,1
P20333,P62269,67.53,88.98,1
P07814,Q15653,83.43,77.34,1
P20290-2,G4XH65,,,1
Q0VG06,A0A024RBW1,74.82,68.36,1
P20333,P42677,67.53,92.78,1
Q9BQ69,G4XH65,82.69,65.17,1
P50991,Q99759,89.16,67.2,1
P51571,P20333,88.74,67.53,1
Q9NYJ8,P62258,53.03,92.9,1
A0A024RD47,A0A1U9X830,,,1
P62280,Q01201,88.29,69.8,1
Q9Y6K9,O14920,82.83,86.45,1
P82663,Q9UJA3,92.73,74.74,1
Q00653,P62424,76.08,91.28,1
Q15653,P0DPB6,77.34,86.58,1
Q9Y6K9,A0A024R1Q8,82.83,92.61,1
P20333,Q9NVI1,67.53,83.47,1
O60925,Q99759,93.21,67.2,1
A8K7B7,Q9C0C7,92.46,49.69,1
P36578,A0A024RCR3,87.77,67.61,1
Q00653,P49327,76.08,85.91,1
P55036,Q9Y4K3,72.74,86.19,1
P97447,A0A0S2Z5B2,92.66,48.47,1
Q13077,P23396,79.79,91.34,1
Q15653,P62913,77.34,92.01,1
A8K7B7,P35249,92.46,82.83,1
Q00653,O14920,76.08,86.45,1
K7PPA8,Q8IWT3,71.76,67,1
Q8N163,Q01201,68.6,69.8,1
Q08211,Q99558,81.38,61.29,1
P50616,P61978,67.09,64.72,1
A0A0S2Z4Z9,Q9UHD2,73.66,89.88,1
Q9UHD2,P07195,89.88,96.05,1
Q13451,Q04864,92.88,66.88,1
P0CG47,Q99759,93.71,67.2,1
P55084,Q13233,90.88,59.63,1
P02511,P43320,75.3,89.38,1
P20333,P12236,67.53,91.79,1
Q9Y6K9,P12236,82.83,91.79,1
A0A024RD80,Q99759,82.98,67.2,1
Q91VC3,A0A024R8W0,88.43,87.03,1
A0A0G2JNZ2,Q99759,,,1
Q9Y6K9,P19105,82.83,84.14,1
A0A384MEJ3,Q14164,59.09,88.66,1
A8K6K3,P31689,77.07,83.35,1
Q9Y6K9,P63261,82.83,95.34,1
Q71U36,P25963,91.89,82.58,1
Q9BUF5,Q13233,92.16,59.63,1
A0A024RBB7,Q15628,77.14,84.91,1
A0A024RD47,Q06455,,,1
P63261,Q04864,95.34,66.88,1
P41279,P19838,74.45,74.5,1
Q9UNM6,Q9Y4K3,72.14,86.19,1
P31946,Q99759,93.88,67.2,1
Q15653,Q549N5,77.34,85.51,1
P63261,P20333,95.34,67.53,1
Q9Y6K9,P50213,82.83,90.67,1
A0A024R9D3,Q01201,85.45,69.8,1
Q9Y572,Q9GZS3,67.62,96.54,1
Q15653,A0A024RC65,77.34,,1
Q9Y333,P62310,94.61,89.46,1
O15111,P06753,84.64,91.79,1
Q92844,A0A024RDY0,60.39,91.17,1
A2A3R6,Q13233,94,59.63,1
A0A024RCA7,Q01201,67.98,69.8,1
Q15653,O15446,77.34,56.22,1
Q9Y6K9,P46783,82.83,75.14,1
P60709,P15927,95.51,80.68,1
P02511,A0A0X8GLL6,75.3,96.4,1
Q9NYJ8,O95816,53.03,86.84,1
P19438,Q9NXW2,71.68,77.73,1
Q99558,A0A024R4M0,61.29,90.09,1
Q9Y6K9,Q13557,82.83,84.29,1
A8K6K3,O43318,77.07,69.95,1
Q9BZF9,Q04864,74.39,66.88,1
A8K6K3,K9JA46,77.07,84.41,1
Q09472,O60934,54.7,63.45,1
K9JA46,A0A0S2Z4Z8,84.41,75.22,1
Q9BXW9,P20333,77.51,67.53,1
P35580,Q99759,75.49,67.2,1
A0A024R8H5,A0A024RD80,87.27,82.98,1
Q9Y6K9,P62249,82.83,93.87,1
P08754,Q99759,94.27,67.2,1
Q6ZW61,A0A024R687,73.97,78.56,1
P20333,A0A140VJM4,67.53,75.59,1
P07814,Q01201,83.43,69.8,1
Q15653,P46199,77.34,83.27,1
Q15653,P03973,77.34,84.4,1
A0A0S2Z3Y1,Q9UHD2,79.23,89.88,1
A0A024R8H5,K9JA46,87.27,84.41,1
Q96KB5,P19784,84.91,94.71,1
Q99558,P04350,61.29,92.24,1
P41279,O96019-2,74.45,,1
Q13233,Q9BVA1,59.63,91.95,1
Q8ND90,B2RE76,80.44,74.19,1
P07437,A0A024R8H5,91.86,87.27,1
O00231,Q9Y4K3,83.22,86.19,1
O43318-2,A0A024R7B7,,,1
B2RDW1,Q99759,89.19,67.2,1
Q99558,Q9UNE7,61.29,89.79,1
A0A024R8H5,P04350,87.27,92.24,1
Q9NYJ8,Q05639,53.03,88.74,1
P52907,O15111,93.51,84.64,1
Q00653,P51398,76.08,85.26,1
P62263,Q13233,90.01,59.63,1
Q00653,P19838,76.08,74.5,1
Q9Y4K3,A0A0S2Z3L2,86.19,85.05,1
Q14164,B2ZZ89,88.66,,1
P63208,Q15653,90.26,77.34,1
P05813,P53674,88.4,82.37,1
Q96L21,Q99558,94.88,61.29,1
Q9Y6K9,P35580,82.83,75.49,1
Q9BVA1,O14920,91.95,86.45,1
P28072,Q9Y4K3,89.98,86.19,1
Q13233,P31689,59.63,83.35,1
P50616,A0A024R7T3,67.09,62.9,1
Q9UPV0,Q6IQ55,63.23,50.19,1
Q9NZL4,Q13233,84.66,59.63,1
P07437,Q01201,91.86,69.8,1
Q3ZCQ8,Q13233,80.56,59.63,1
Q9Y6K9,A0A024R1N1,82.83,,1
Q13233,P04350,59.63,92.24,1
P53351,A0A024QZV1,77.37,75.47,1
Q13077,P0DPH7,79.79,91.52,1
A0A384N605,Q14493,96.71,71.7,1
Q93008,Q13233,79.97,59.63,1
P11142,A0A024R8H5,89.18,87.27,1
O15111,P0DPH7,84.64,91.52,1
P49715,P47902,63.67,68.64,1
A0A024QZU0,A0A024QZU0,65.18,65.18,1
P25963,A0A024R1Q8,82.58,92.61,1
A0A024R1S7,Q01201,68.07,69.8,1
Q13233,P61962,59.63,93.33,1
Q99615,Q99759,90.52,67.2,1
P40763,P40763,85.77,85.77,1
P08754,Q9Y572,94.27,67.62,1
Q9NYJ8,P31689,53.03,83.35,1
P04350,Q15628,92.24,84.91,1
P34932,A0A024R8H5,86.15,87.27,1
P20333,P25705,67.53,88.61,1
Q6UB99,O15379,40.16,91.2,1
Q7Z4T9,Q8IW35,75.85,58.99,1
A0A024QZQ1,Q03164,62.98,,1
Q9Y6K9,A0A1U9X7W7,82.83,89.35,1
Q14164,P06753,88.66,91.79,1
P25963,P04350,82.58,92.24,1
A0A1U9X974,A0A024RB53,,,1
P31689,Q99759,83.35,67.2,1
Q9UHD1,Q9UHD1,81.38,81.38,1
P48643,Q9Y572,89.4,67.62,1
A0A1U9X7W7,Q13233,89.35,59.63,1
Q9NXF8,A0A024RCR3,83.81,67.61,1
Q9NVI7,Q15628,79.47,84.91,1
O43318-2,P27708,,,1
Q8N1L9,P05412,62.65,62.21,1
Q9Y4K3,P62191,86.19,77.99,1
Q9Y6K9,Q5VYK3,82.83,83.83,1
Q99759,P21333,67.2,77.38,1
Q7KZI7,Q99759,68.48,67.2,1
A0A024RCQ4,A0A024RDH2,67.97,96.05,1
P80217,Q13287,84.7,81.62,1
Q9Y6K9,P11021,82.83,90.33,1
A0A024R1X3,Q96FZ7,89.78,81.62,1
Q00653,A0A024RCA7,76.08,67.98,1
A0A024R4E2,P50616,62.62,67.09,1
P08107,Q08752,,,0
P27448,Q9BUJ2,69.22,66.32,0
O75947,O15525,86.31,81.46,0
P13686,P19404,94.94,87.47,0
Q96B36,Q9H1D9,67.05,85.14,0
P63261,Q9GZP4,95.34,84.15,0
P21246,P29350,75.68,86.41,0
Q07352,Q8NA92,60.61,72.82,0
Q6ZN04,O15525,63.06,81.46,0
Q9BYC9,O95466,91.47,74.72,0
O60260,P49675,79.51,82.49,0
Q15012,P02768,73.09,92.64,0
P06858,P30408,91.21,81.28,0
Q15528,O00487,79.98,82.55,0
Q17R89,P17936,66.23,67.73,0
Q6IBL2,Q99569,,,0
P25788,P26447,94.69,85.19,0
Q9P287,P52756,79.08,63.6,0
Q8WUB8,Q00536,71.34,72.6,0
Q9GZP1,Q08752,63.85,96.55,0
O60896,Q14695,88.16,32.95,0
Q93052,Q9H0E4,61.67,50.46,0
Q9Y2A0,P62316,,,0
Q9NZD4,O60333,91.22,66.04,0
O14795,Q9NYQ6,75.76,,0
P56749,Q9BY11,80.84,85.39,0
O75251,Q3B820,83.04,66.75,0
P02794,O43657,95.77,88.44,0
O43583,P14678,63.62,71.45,0
P22736,P46934,66.85,53.97,0
P23416,O43504,84.44,96.55,0
Q4V328,P21695,78.95,96.15,0
P05386,Q96JB5,71.93,83.52,0
Q9UHX1,Q9Y6I3,68.4,65.01,0
Q14181,Q8IZ08,85.55,67.47,0
O43312,Q9H6J7,62.24,80.72,0
Q9NWF9-3,P36575,,,0
Q16623,Q8IZ52,85,85.51,0
O95897,Q9BUB7,84.16,73.04,0
Q08495,Q6N063,64.63,94.05,0
O95424,Q13724,70.3,92.32,0
Q6P1J9,P26447,73.98,85.19,0
Q8IX03,P36542,61.5,87.85,0
Q04724,Q9NWF9-3,69.52,,0
P21860,P35268,72.83,84.92,0
Q07065,P32942,75.38,87.07,0
O43768,Q13469,68.6,57.59,0
Q8TEY7,O43927,70.72,84.13,0
O15062,Q9Y6N8,50.87,77.86,0
Q96DV4,Q9Y2J2,83.75,59.12,0
O43312,Q92575,62.24,75.62,0
O95445,P23490,89.63,44.48,0
Q9BYC9,P26885,91.47,89.86,0
Q9C026,P20338,83.54,88.06,0
P11597,P62851,91.44,74,0
Q8IZ48,Q9UPT9,54.8,83.95,0
P27707,P84101,89.48,81.68,0
P49770,O75569,86.74,76.46,0
O95219,Q15390,85.13,65.74,0
Q15434,Q14318,63.68,80.96,0
P02647,Q86XM6,73.61,50.75,0
Q9BTE0,P36405,92.37,93.26,0
Q96GM8,P17024,79.16,73.03,0
P06858,O00257,91.21,54.71,0
Q9UBQ0,Q8N5U6,96.55,64.85,0
Q13387,Q9UNZ2,51.72,74.65,0
Q9UI12,Q9H8K7,88.04,67.87,0
Q9NY33,O14787,95.55,91.18,0
Q13332,Q8N8Q3,82.18,90.83,0
Q15393,Q6T4P5,92.53,59.49,0
O95873,Q92879,58.5,68.13,0
P30050,P11230,69.77,79.71,0
Q8NB37,Q9Y6N8,94.66,77.86,0
Q6GVN4,Q5VU21,67.63,53.83,0
Q9H8M9,Q9BSI4,64.38,61,0
Q6FI97,P56134,87.78,74.17,0
P68871,Q9BTE0,96.97,92.37,0
P56470,P42858,90.86,,0
O00329,O43390,87.98,69.29,0
Q8N357,P11230,84.28,79.71,0
Q9Y4P8,Q9Y276,77.28,87.18,0
Q96DW6,P63000,83.47,93.7,0
P26641,Q13107,86.44,77.51,0
P19793,Q8N5U6,76.51,64.85,0
Q8NB37,Q69YU3,94.66,57.74,0
Q9BQ52,P68400,82.86,90.96,0
O75380,P02768,81.99,92.64,0
P05091,Q86YV5,95.98,51.2,0
Q86UP0,Q96N11,76.25,83.11,0
O75936,P52565,95.26,90.97,0
Q9UHY7,Q69YN2,95.44,84.09,0
Q15102,P63279,95.14,97.47,0
O76061,Q96GD4,73.3,79.85,0
P54257,P63244,64.88,92.07,0
Q9UK76,P21673,62.17,96.5,0
Q96A33,Q96GQ7,77.25,70.71,0
P21579,Q6IAV4,81.14,71.81,0
P47224,Q96DN6,89.04,44.01,0
Q9NQ34,Q9Y6H5,72.73,52.57,0
Q15047,Q9NWZ3,66.67,83.86,0
O75689,Q9P2R6,96.02,54.56,0
Q86XM6,O60341,50.75,85.13,0
P63162,Q13547,71.67,86.31,0
Q15836,Q9BPU6,92.18,91.22,0
O95359,Q9BYN8,,,0
O76003,Q9H3H3,88.49,83.4,0
Q92990,P01909,88.43,88.71,0
O43347,Q9UQB8,65.59,73.19,0
Q7Z6J6,P12429,75.96,96.34,0
Q9P244,P05386,70.59,71.93,0
O14949,Q9Y4R8,94.27,85.13,0
Q7Z6J6,Q8N6T7,75.96,87.96,0
P23396,Q03013,91.34,98.25,0
O95897,Q9Y2V2,84.16,84.44,0
P12956,Q9UD71,84.24,66.04,0
O43837,P58340,88.39,65.94,0
O14798,Q02978,72.46,86.66,0
Q96DV4,Q86XS8,83.75,75.47,0
Q6IA17,P22736,76.02,66.85,0
Q9H4K1,Q9BQ95,86.75,72.92,0
P22234,Q92575,95.75,75.62,0
P45378,Q07912-1,78.09,,0
P42858,Q70Z53,,,0
P23284,Q99547,91.93,74.7,0
P67775,Q9P2R6,94.78,54.56,0
O43570,O15182,88.39,89.55,0
Q8NI70,Q86YL7,,,0
Q969T9,Q75KN0,71.63,70.47,0
Q9P2J2,Q99624,66.99,78.61,0
Q9NPI5,Q9HBT7,88.43,68.36,0
Q7L5D6,Q13501,88.32,67.62,0
P23246,Q8IVM0,69.4,75.55,0
P21579,O75528,81.14,75.47,0
Q01082,O43390,77.2,69.29,0
P22670,Q9BWC9,60.89,73.62,0
Q06323,Q15390,90.64,65.74,0
P63208,Q9BYD3,90.26,84.14,0
O75427,P00742,67.02,79.85,0
Q15393,Q9NZM5,92.53,79.39,0
O43347,Q92598,65.59,85.28,0
P02787,O60701,93.39,93.74,0
P24522,Q96L34,80.52,67.69,0
O43837,Q16637,88.39,66.6,0
P19256,Q96P48,83.66,75.35,0
Q93052,Q9GZR7,61.67,65.45,0
P35080,Q8NG27,95.56,49.93,0
Q9BTW9,P22061,90.55,96.2,0
Q9NX95,Q9UK32,55.65,75.76,0
Q9P298,P61313,67.62,96.1,0
P29074,Q96AE4,77.3,64.94,0
Q8NFP7,Q9UFN0,90.06,90.3,0
P08107,Q9NVP1,,,0
Q96GQ7,Q9UM11,70.71,82.07,0
Q13332,P55774,82.18,87.74,0
P18621,Q13541,91.53,71.29,0
O75947,P01033,86.31,90.06,0
Q9Y2X7,Q8WVM8,74.98,85.96,0
P06858,Q99759,91.21,67.2,0
O60282,Q53HC0,79.61,74.04,0
O00488,O43390,77.39,69.29,0
Q8IYL3,Q8TBC4,61.44,93.2,0
P23142,Q96KR7-3,79.65,,0
O43768,Q9H2D6,68.6,40.44,0
Q9UNN8,A6NE52,87.1,62.78,0
P09467,Q12800,94.37,77.96,0
Q9Y5U2,P17152,61.28,78.23,0
P55060,Q13148,91.25,66.64,0
P30408,O00429,81.28,77.23,0
Q96B86,P30050,79.27,69.77,0
Q8N9L1,O60512,59.21,88.72,0
Q96DI7,Q5VU21,85.44,53.83,0
Q7L5D6,P15927,88.32,80.68,0
P12236,Q07352,91.79,60.61,0
P06865,P19387,93.78,92.13,0
Q9P298,Q8N201,67.62,75.76,0
Q6FIF0,P22087,72.21,78.86,0
Q9H0R3,P02792,85.68,97,0
Q9H910,Q8N2Y8,61.1,46.15,0
Q16539,Q6FI91,89.28,60.15,0
P02775,P49448,77.27,90.57,0
Q9Y478,Q16637,78.36,66.6,0
Q9BX40,Q6EMB2,63.59,62.53,0
O43252,P63146,93.56,95.34,0
Q04724,O15169,69.52,62.3,0
P30408,P08238,81.28,84.45,0
Q92527,Q8N8Q3,85,90.83,0
P67775,Q15424,94.78,54.36,0
Q12889,P51513,70.76,65.31,0
Q9Y333,Q9NPA8,94.61,93.86,0
Q05469,Q5JVS0,64.51,56.69,0
P22234,Q12800,95.75,77.96,0
P27816,P42568,43.24,63.87,0
P56181,P20264,72.7,57.84,0
P49759,P02768,78.44,92.64,0
O95630,P04181,84.91,94.23,0
Q9Y333,O00487,94.61,82.55,0
P60660,O14777,95.37,78.61,0
P05386,Q8N9L1,71.93,59.21,0
O15228,P62826,88.93,88.83,0
P09466,O94864,87.19,65.82,0
P25788,P09211,94.69,98.07,0
Q9P2K9,P30044,71.02,86.18,0
O14732,Q96C92,95.07,65.59,0
P14222,Q9GZP4,91.08,84.15,0
P24522,P50336,80.52,95.37,0
Q9BVJ6,P04156,66.27,66.26,0
O75348,Q6ZRQ5,93.16,81.84,0
P08865,P35219,79.95,90.53,0
Q8WV44,P05026,72.09,89.41,0
O43583,Q14695,63.62,32.95,0
P21246,Q9NUT2,75.68,78.06,0
Q13426,Q5TCS8,75.23,73.81,0
Q4ZIN3,Q3B820,65.49,66.75,0
P29400,P07108,49.04,97.22,0
A4D1P6,Q9BTT4,75.92,92.86,0
Q9H8U3,O43147,69.64,71.11,0
Q9NTK5,Q6IA98,88.96,60.17,0
P49736,O95273,76.52,87.1,0
Q92990,Q96C92,88.43,65.59,0
Q8WVM8,Q9UBI1,85.96,86.81,0
Q9H8H0,P20042,78.25,64.1,0
O14976,Q9BVJ7,67.49,97.65,0
P63162,Q15434,71.67,63.68,0
Q9Y294,O60512,85.05,88.72,0
P61956,P25189,83.46,82.54,0
P13686,Q13951,94.94,86.83,0
P46977,Q9UH03,88.29,82.94,0
O14775,P32004,93.82,79.35,0
Q16531,Q9H5J8,91.96,63.54,0
P21246,P04406,75.68,98.17,0
Q9BXR0,P26885,94.13,89.86,0
P48443,Q86YJ7,75.53,72.65,0
Q9HCC8,P21695,90.59,96.15,0
Q9NWV4,Q8WUM4,97.03,84.04,0
Q13107,Q96Q04,77.51,47.36,0
Q969H0,P06746,77.23,94.32,0
O95166,Q9Y6K8,94.82,78.98,0
Q13239,P42025,75.08,93.01,0
Q96A33,Q9UD71,77.25,66.04,0
Q3MHD2,P21127,90.87,65.81,0
Q6PGQ7,Q9Y277,50.73,95.56,0
Q13685,Q9Y6G3,84.32,74.57,0
Q9P2K9,P32942,71.02,87.07,0
Q9Y5M8,P52815,86.99,69.52,0
Q86XM6,P20338,50.75,88.06,0
P62310,P55209,89.46,79.35,0
P52797,Q9P212,74.13,60.04,0
Q15527,P20674,71.24,88.11,0
Q9HDC9,A6NE52,91.74,62.78,0
Q12772,Q52M93,63.15,76.52,0
Q9UBV8,Q05193,75.39,79.07,0
P25963,P20674,82.58,88.11,0
P08865,P28340,79.95,86.96,0
O94772,Q9HC52,76.58,63.81,0
P24534,O14543,77.61,71.37,0
O43837,Q15907,88.39,86.09,0
Q9NYS7,Q8N357,85.35,84.28,0
Q969W0,Q9H8T0,93.82,78.15,0
O15145,Q9NQX7,95.23,76.53,0
Q9NP59,Q15424,80.51,54.36,0
Q9H0R3,O43639,85.68,72.88,0
