uidA,uidB,ConfidenceA,ConfidenceB,PPI_type,MMGBSA_1,MMGBSA_2,MMGBSA_3,MMGBSA_4,MMGBSA_5,MMGBSA_6,MMGBSA_7,MMGBSA_8,MMGBSA_9,MMGBSA_10,AVERAGE_3,AVERAGE_5,AVERAGE_10
P28072,Q9Y4K3,89.98,86.19,1,-67.44,-46.55,-43.92,-43.81,-43.69,-42.99,-42.92,-27.44,-24.44,-19.8,-52.63666667,-49.082,-40.3
P11142,A0A024R8H5,89.18,87.27,1,-49.4,-44.36,-36.59,-36.5,-36.07,-31.35,-28.03,-20.43,-20.03,5.09,-43.45,-40.584,-29.767
O15111,P0DPH7,84.64,91.52,1,-58.67,-55.18,-46.18,-37.08,-35.24,-33.98,-28.87,-27.21,-18.07,-14.58,-53.34333333,-46.47,-35.506
P25963,A0A024R1Q8,82.58,92.61,1,-85.16,-67.29,-51.88,-46.32,-44.54,-41.88,-37.6,-34.86,-29.36,-1.58,-68.11,-59.038,-44.047
P40763,P40763,85.77,85.77,1,-58.27,-47.45,-39.5,-37.35,-35.79,-35.68,-35.64,-35.48,-27.48,-27.02,-48.40666667,-43.672,-37.966
P04350,Q15628,92.24,84.91,1,-61.77,-61.14,-52.5,-43.53,-38.67,-36.53,-35,-26.35,-26.04,-18.02,-58.47,-51.522,-39.955
P34932,A0A024R8H5,86.15,87.27,1,-77.36,-54.73,-43.51,-43.17,-28.61,-24.8,-19.51,-17.83,-14.39,-0.68,-58.53333333,-49.476,-32.459
Q9Y6K9,A0A1U9X7W7,82.83,89.35,1,-54.9,-49.7,-49.22,-46.47,-34.66,-34.41,-31.12,-15.54,-12.16,-11.97,-51.27333333,-46.99,-34.015
Q14164,P06753,88.66,91.79,1,-76.09,-63.89,-48.46,-47.79,-46.63,-46.1,-45.6,-28.83,-28.49,-11.29,-62.81333333,-56.572,-44.317
P25963,P04350,82.58,92.24,1,-56.75,-55.63,-38.14,-33.84,-33.61,-27.45,-27.3,-25.62,-23.63,-22.55,-50.17333333,-43.594,-34.452
Q9UHD1,Q9UHD1,81.38,81.38,1,-71.37,-45.52,-40.51,-33.01,-28.93,-22.85,-21.66,-18.67,-18.47,-16.35,-52.46666667,-43.868,-31.734
Q9Y6K9,Q5VYK3,82.83,83.83,1,-78.53,-62.13,-47.49,-40.46,-40.3,-39.5,-37.28,-37.16,-19.85,-1.72,-62.71666667,-53.782,-40.442
P80217,Q13287,84.7,81.62,1,-59.8,-43.31,-38.32,-37.5,-34.6,-33.12,-32.93,-22.27,-17.64,-15.79,-47.14333333,-42.706,-33.528
Q9Y6K9,P11021,82.83,90.33,1,-50.28,-43.65,-36.78,-33.81,-32.88,-23.41,-22.06,-21.1,-17.46,-3.71,-43.57,-39.48,-28.514
A0A024R1X3,Q96FZ7,89.78,81.62,1,-74.07,-51.52,-50.06,-46.7,-42.31,-39.69,-29.85,-26.25,-24.7,-24.63,-58.55,-52.932,-40.978
O75947,O15525,86.31,81.46,0,-69.55,-68.78,-63.86,-63.56,-52.04,-51.63,-51.34,-47.61,-36.49,-33.5,-67.39666667,-63.558,-53.836
P13686,P19404,94.94,87.47,0,-62.9,-59.74,-58.83,-52.5,-51.37,-41.78,-41.56,-38.6,-37.73,-31.36,-60.49,-57.068,-47.637
P63261,Q9GZP4,95.34,84.15,0,-52.76,-50.73,-49.28,-48.57,-45.74,-43.82,-38.44,-21.37,-19.4,-17.1,-50.92333333,-49.416,-38.721
P06858,P30408,91.21,81.28,0,-58.18,-58.02,-55.44,-44.76,-42.33,-41.17,-33.13,-31.38,-31.34,-28.1,-57.21333333,-51.746,-42.385
P25788,P26447,94.69,85.19,0,-48.18,-47.83,-44.75,-44.34,-40.79,-36.92,-34.61,-34.42,-30.94,-20.65,-46.92,-45.178,-38.343
P56749,Q9BY11,80.84,85.39,0,-85.47,-61.1,-59.85,-58.17,-57.34,-52.38,-51.49,-50.7,-37.82,-36.89,-68.80666667,-64.386,-55.121
P02794,O43657,95.77,88.44,0,-68.09,-61.68,-58.11,-50.77,-48.59,-46.96,-46.72,-43.12,-40.66,-40.23,-62.62666667,-57.448,-50.493
P23416,O43504,84.44,96.55,0,-56.12,-55.4,-53.05,-50.63,-48.62,-47.73,-45,-41.27,-36.61,-36.28,-54.85666667,-52.764,-47.071
Q16623,Q8IZ52,85,85.51,0,-97.87,-81.12,-62.1,-58.95,-55.5,-50.17,-48.05,-44.63,-32.73,-31.56,-80.36333333,-71.108,-56.268
Q9BYC9,P26885,91.47,89.86,0,-69.71,-68.68,-66.34,-49.34,-49.16,-48.45,-41.4,-38.19,-34.39,-29.41,-68.24333333,-60.646,-49.507
Q9C026,P20338,83.54,88.06,0,-88.58,-60.07,-57.08,-50.07,-49.1,-47.75,-42.6,-41.53,-37.97,-25.17,-68.57666667,-60.98,-49.992
P27707,P84101,89.48,81.68,0,-62.4,-45.84,-42.5,-35.23,-34.4,-29.39,-25.77,-24.5,-16.38,-14.95,-50.24666667,-44.074,-33.136
Q9BTE0,P36405,92.37,93.26,0,-47.99,-44.89,-44.06,-39.43,-36.8,-35.86,-29.39,-27.23,-21.54,-2.12,-45.64666667,-42.634,-32.931
Q9NY33,O14787,95.55,91.18,0,-56.92,-55.38,-47.69,-43.38,-40.2,-38.14,-36.7,-30.31,-29.12,-4.71,-53.33,-48.714,-38.255
Q13332,Q8N8Q3,82.18,90.83,0,-75.5,-62.36,-59.72,-55.85,-54.76,-45.8,-41.44,-39.46,-38.42,-26.06,-65.86,-61.638,-49.937
P68871,Q9BTE0,96.97,92.37,0,-51.76,-51.49,-51.22,-41.93,-38.69,-38.29,-38.17,-36.29,-32.85,-30.84,-51.49,-47.018,-41.153
Q96DW6,P63000,83.47,93.7,0,-68.3,-60.33,-56.25,-52.79,-52.72,-51.92,-48.43,-44.49,-39.89,-31.65,-61.62666667,-58.078,-50.677
Q9BQ52,P68400,82.86,90.96,0,-82.03,-61.23,-60.39,-50.65,-49.52,-42.64,-42.02,-28.28,-26.48,-23.86,-67.88333333,-60.764,-46.71
O75380,P02768,81.99,92.64,0,-62.98,-61.72,-47.21,-43.37,-35.22,-28.35,-28.24,-27.8,-27.13,-13.11,-57.30333333,-50.1,-37.513
O75936,P52565,95.26,90.97,0,-57.54,-45.86,-45.37,-38.54,-36.66,-35.33,-29.85,-28.93,-18.17,-6.93,-49.59,-44.794,-34.318
Q9UHY7,Q69YN2,95.44,84.09,0,-77.56,-56.54,-43.28,-41.96,-35,-30.5,-25.73,-23.02,-19.42,-13.26,-59.12666667,-50.868,-36.627
Q15102,P63279,95.14,97.47,0,-43.04,-42.99,-41.46,-38.83,-36.55,-34.22,-32.35,-31.97,-21.23,-20.96,-42.49666667,-40.574,-34.36
Q15836,Q9BPU6,92.18,91.22,0,-60.35,-56.74,-45.16,-44.11,-39.49,-36.55,-33.2,-30.82,-28.49,-27.45,-54.08333333,-49.17,-40.236
O76003,Q9H3H3,88.49,83.4,0,-55.8,-53.5,-50.78,-45.39,-43.98,-43.23,-34.54,-24.82,-23.79,-22.98,-53.36,-49.89,-39.881
Q92990,P01909,88.43,88.71,0,-64.32,-61.72,-56.01,-53.97,-49.22,-46.5,-42.67,-39.33,-38.63,-35.98,-60.68333333,-57.048,-48.835
O14949,Q9Y4R8,94.27,85.13,0,-68.16,-65.26,-61.79,-61.58,-58.42,-57.67,-53.63,-47,-46.04,-40.77,-65.07,-63.042,-56.032
P23396,Q03013,91.34,98.25,0,-45.72,-42.35,-42.14,-40.11,-35.17,-26.77,-26.61,-26.34,-26.1,-14.96,-43.40333333,-41.098,-32.627
O95897,Q9Y2V2,84.16,84.44,0,-76.57,-53.34,-50.11,-48.83,-46.19,-43.17,-34.21,-32.34,-31.12,-27.43,-60.00666667,-55.008,-44.331
O43570,O15182,88.39,89.55,0,-85.38,-66.65,-64.76,-63.65,-55.63,-53.24,-50.16,-48.43,-46.47,-44.18,-72.26333333,-67.214,-57.855
P63208,Q9BYD3,90.26,84.14,0,-52.31,-51.95,-49.67,-46.8,-37.89,-37.86,-37.63,-32.19,-27.04,-23.59,-51.31,-47.724,-39.693
P02787,O60701,93.39,93.74,0,-55.77,-50.36,-48.06,-29.37,-27.21,-25.78,-20.55,-18.43,-17.23,-12.59,-51.39666667,-42.154,-30.535
Q9BTW9,P22061,90.55,96.2,0,-65.24,-55.37,-53.55,-49.18,-48.56,-45.06,-41.44,-30.75,-25.34,-24.93,-58.05333333,-54.38,-43.942
Q8NFP7,Q9UFN0,90.06,90.3,0,-67.79,-62.22,-54.27,-50.78,-50.32,-48.28,-42.88,-37.54,-28.89,-27.49,-61.42666667,-57.076,-47.046
Q13332,P55774,82.18,87.74,0,-75.01,-65.78,-55.98,-43.75,-43.16,-41.26,-39.48,-36.28,-28.62,-19.28,-65.59,-56.736,-44.86
O75947,P01033,86.31,90.06,0,-69.12,-57.8,-52.7,-52.54,-49.55,-42.58,-38.73,-36.26,-34.91,-32.3,-59.87333333,-56.342,-46.649
Q7L5D6,P15927,88.32,80.68,0,-82.52,-61.47,-58.77,-53.32,-46.75,-45.74,-45.57,-41.43,-39.38,-33.43,-67.58666667,-60.566,-50.838
P06865,P19387,93.78,92.13,0,-55.82,-52.43,-49.34,-46.3,-42.68,-32.59,-30.49,-24.12,-21.65,-10.3,-52.53,-49.314,-36.572
Q9H0R3,P02792,85.68,97,0,-54.03,-47.42,-47.33,-45.16,-44.73,-43.11,-30.56,-30.34,-29.79,-24.59,-49.59333333,-47.734,-39.706
O43252,P63146,93.56,95.34,0,-73.97,-73.86,-57.26,-52.91,-52.56,-51.29,-48.33,-40.59,-40.4,-37.91,-68.36333333,-62.112,-52.908
P30408,P08238,81.28,84.45,0,-63.62,-62.4,-59.93,-58.31,-57.95,-56.47,-55.97,-54.23,-51.4,-46.27,-61.98333333,-60.442,-56.655
Q92527,Q8N8Q3,85,90.83,0,-51.51,-49.91,-42.36,-40.94,-39.35,-35.12,-29.5,-24.9,-23.05,-12.4,-47.92666667,-44.814,-34.904
Q9Y333,Q9NPA8,94.61,93.86,0,-48.43,-46.4,-41.45,-40.37,-36.97,-33.77,-33.46,-32.05,-29.13,-27.51,-45.42666667,-42.724,-36.954
O95630,P04181,84.91,94.23,0,-71.67,-53.96,-49.1,-41.92,-41.33,-35.68,-34.4,-30.93,-29.54,-21.41,-58.24333333,-51.596,-40.994
Q9Y333,O00487,94.61,82.55,0,-57.8,-55.96,-50.3,-44.35,-43.34,-39.12,-38.82,-31.44,-29.49,-26.92,-54.68666667,-50.35,-41.754
O15228,P62826,88.93,88.83,0,-56.4,-49.79,-43.75,-42.07,-36.05,-34.46,-32.67,-32.57,-30.41,-26.69,-49.98,-45.612,-38.486
P25788,P09211,94.69,98.07,0,-79.14,-68.69,-67.12,-65.41,-47.65,-40.63,-28.16,-27.29,-26.34,-24.98,-71.65,-65.602,-47.541
P14222,Q9GZP4,91.08,84.15,0,-76.72,-62.97,-56.34,-39.68,-37.44,-28.76,-25.93,-17.74,-14.13,-11.35,-65.34333333,-54.63,-37.106
P24522,P50336,80.52,95.37,0,-69.38,-68.22,-53.74,-51.57,-49.7,-45.57,-35.59,-32.82,-29.1,-21.79,-63.78,-58.522,-45.748
O75348,Q6ZRQ5,93.16,81.84,0,-63.38,-54.48,-49.39,-45.02,-44.47,-41.12,-34.21,-30.05,-19.87,-15.77,-55.75,-51.348,-39.776
Q8WVM8,Q9UBI1,85.96,86.81,0,-56.8,-52.66,-51.23,-42.7,-36.26,-34.8,-33.71,-30.88,-29.59,-22.07,-53.56333333,-47.93,-39.07
Q9Y294,O60512,85.05,88.72,0,-66.07,-65.78,-64.51,-58.74,-58.53,-47.04,-43.08,-28.58,-28.02,-26.66,-65.45333333,-62.726,-48.701
P61956,P25189,83.46,82.54,0,-50.74,-49.68,-48.19,-43.32,-37.43,-37.28,-37.01,-36.51,-31.9,-24.37,-49.53666667,-45.872,-39.643
P13686,Q13951,94.94,86.83,0,-55.24,-53.86,-35.56,-32.39,-29.93,-22.31,-20.22,-17.28,-15.03,-13.41,-48.22,-41.396,-29.523
P46977,Q9UH03,88.29,82.94,0,-78.39,-78.33,-71.7,-57.81,-55.97,-54.63,-48.81,-45.01,-44.71,-39.53,-76.14,-68.44,-57.489
Q9BXR0,P26885,94.13,89.86,0,-66.76,-54.42,-51.22,-48.71,-47.37,-39.19,-38.7,-33.48,-32.35,-28.58,-57.46666667,-53.696,-44.078
Q9HCC8,P21695,90.59,96.15,0,-65.05,-62.51,-62.05,-61.67,-54.61,-54.56,-48.05,-47.51,-38.52,-33.6,-63.20333333,-61.178,-52.813
Q9NWV4,Q8WUM4,97.03,84.04,0,-36.33,-35.13,-32.27,-29.58,-28.01,-25.39,-22.57,-22.12,-21.35,-18.72,-34.57666667,-32.264,-27.147
P25963,P20674,82.58,88.11,0,-49.6,-48.21,-47.81,-45.79,-43.15,-41.51,-35.59,-34.7,-31.14,-29.04,-48.54,-46.912,-40.654
O43837,Q15907,88.39,86.09,0,-62.22,-48.53,-47.18,-38.76,-38.36,-35.02,-34.49,-30.26,-26.92,-21.43,-52.64333333,-47.01,-38.317
Q9NYS7,Q8N357,85.35,84.28,0,-80.89,-73.87,-70.5,-69.38,-65.48,-63.97,-61.21,-54.42,-50.76,-41.71,-75.08666667,-72.024,-63.219
Q96FK6,Q9H6J7,87.92,80.72,0,-71.13,-67.6,-57.25,-52.34,-50.06,-33.4,-33.27,-32.72,-31.78,-31.71,-65.32666667,-59.676,-46.126
P51671,Q9NXK8,87.98,89.21,0,-63.25,-59.08,-53.19,-51.92,-49.76,-49.41,-45.76,-39.88,-37.77,-30.4,-58.50666667,-55.44,-48.042
O95166,Q9UII2,94.82,80.22,0,-57.09,-43.09,-39.32,-36.76,-35.24,-30.74,-29.61,-27.25,-24.2,-23.6,-46.5,-42.3,-34.69
P24844,P49771,83.55,82.04,0,-61.21,-55.55,-50.66,-50.5,-48.69,-48.34,-45.04,-38.68,-34.93,-25.13,-55.80666667,-53.322,-45.873
P53621,P68400,85.08,90.96,0,-97.17,-75.73,-68.04,-49.91,-41.57,-37.99,-36.98,-33.33,-32.58,-28.77,-80.31333333,-66.484,-50.207
P43235,P78417,95.09,95.97,0,-49.24,-47.55,-45.4,-41.92,-40.95,-37.51,-36.08,-30.39,-27.27,-23.1,-47.39666667,-45.012,-37.941
P60520,P52565,94.86,90.97,0,-36.39,-35.45,-34.69,-34.21,-33.37,-29.85,-23.88,-23.14,-21.92,-21.26,-35.51,-34.822,-29.416
Q99832,P04183,89.04,82.31,0,-91.99,-58.36,-58.11,-54.76,-53.39,-47.09,-40.48,-39.41,-36.53,-35,-69.48666667,-63.322,-51.512
P61769,Q13084,94.3,92.75,0,-47.86,-47.43,-37.02,-36.35,-29.56,-27.49,-23.92,-23.3,-23.02,-19.85,-44.10333333,-39.644,-31.58
P49419,Q8WUM4,95.14,84.04,0,-76.37,-56.73,-46.92,-45.9,-40.46,-31.6,-29.36,-28.89,-19.98,-6.11,-60.00666667,-53.276,-38.232
Q9NPQ8,Q9NX18,90.53,84.2,0,-76.26,-68.06,-64.94,-52.36,-51.44,-48.24,-48.09,-38.06,-32.92,-28.07,-69.75333333,-62.612,-50.844
Q9UKR5,P48304,92.93,89.51,0,-61.32,-54.55,-49,-48.11,-47.83,-45.63,-43.94,-43.18,-37.58,-36.3,-54.95666667,-52.162,-46.744
P68104,P13798,88.73,93.62,0,-60.97,-40.97,-37.37,-33.69,-31.49,-31.25,-26.13,-25.61,-24.96,-20.18,-46.43666667,-40.898,-33.262
Q9BTT4,P40306,92.86,90.75,0,-70.52,-53.77,-50.66,-46.33,-40.71,-33.93,-32.6,-32.12,-28.52,-26.27,-58.31666667,-52.398,-41.543
P09104,P23528,97.14,87.54,0,-67.24,-44.33,-43.5,-35.64,-30.11,-24.36,-22.3,-21.67,-16.48,-10.8,-51.69,-44.164,-31.643
Q9NX08,O43927,87.62,84.13,0,-62.16,-61.44,-59.74,-52.26,-48.25,-44.5,-43.67,-42.79,-41.54,-34.79,-61.11333333,-56.77,-49.114
P51665,P60520,82.92,94.86,0,-60.74,-55.24,-49.11,-42.79,-39.77,-38.84,-37.09,-35.62,-34.72,-28.07,-55.03,-49.53,-42.199
Q8IWV7,P16435,85.06,91.17,0,-56.44,-49.35,-35.9,-33.65,-32.54,-24.73,-19.59,-19.3,-7.03,-0.63,-47.23,-41.576,-27.916
P04179,Q16864,93.49,87.49,0,-51.21,-49.99,-45.61,-42.32,-38.92,-36.11,-34.53,-33.44,-25.74,-16.57,-48.93666667,-45.61,-37.444
Q67FW5,P05154,94.43,85.73,0,-67.14,-57.55,-39.93,-38.82,-32.22,-26.78,-26.31,-26.13,-23.45,-22.54,-54.87333333,-47.132,-36.087
Q15334,Q9Y230,80.77,84.33,0,-53.32,-44.8,-39.5,-38.69,-38.26,-33.67,-31.87,-31.23,-20.24,-17.8,-45.87333333,-42.914,-34.938
Q99962,P62857,86.36,91.06,0,-68.55,-59.43,-57.87,-42.28,-42.13,-41.14,-38.3,-31.56,-29.79,-22.95,-61.95,-54.052,-43.4
P49368,Q9BQD7,89.09,82.65,0,-79.17,-67.09,-52.16,-52.13,-51.75,-51.44,-50.16,-39.27,-32.21,-24.91,-66.14,-60.46,-50.029
Q06323,O95166,90.64,94.82,0,-63.53,-43.95,-43.04,-42.11,-40.88,-34.6,-32.82,-28.97,-24.7,-23.38,-50.17333333,-46.702,-37.798
P22392,Q96KB5,97.65,84.91,0,-50.35,-46.8,-40.25,-39.2,-37.53,-33.6,-32.91,-24.66,-23.11,-22.01,-45.8,-42.826,-35.042
P23416,O14717,84.44,87.32,0,-58.36,-44.76,-43.81,-40.7,-39.38,-33.69,-33.11,-29.56,-29.3,-28.04,-48.97666667,-45.402,-38.071
Q9Y5M8,Q93045,86.99,86.06,0,-60.37,-42.17,-41.73,-40.25,-40.1,-36.75,-31.23,-28.89,-21.93,-20.98,-48.09,-44.924,-36.44
Q9ULJ1,P28328,81.35,81.08,0,-57.37,-51.72,-51.17,-46.6,-41.84,-38.43,-35.83,-32.07,-31.31,-21.79,-53.42,-49.74,-40.813
Q9BQ52,P63146,82.86,95.34,0,-61.01,-56.01,-45.37,-44.92,-35.47,-33.9,-30.81,-23.98,-15.95,-4.47,-54.13,-48.556,-35.189
P51671,Q9GZN7,87.98,89.59,0,-58.37,-49.1,-48.03,-46.36,-43.86,-40.8,-34.74,-33.74,-28.18,-28.11,-51.83333333,-49.144,-41.129
P02792,Q9BPX5,97,89.18,0,-86.2,-53.18,-50.63,-47.93,-44.47,-38.9,-31.4,-23.59,-22.89,-15.16,-63.33666667,-56.482,-41.435
Q7RU07,P50336,81.23,95.37,0,-78.99,-69.01,-64.55,-55.76,-53.04,-52.63,-52.61,-52.37,-48.82,-46.96,-70.85,-64.27,-57.474
O95782,Q9Y230,84.21,84.33,0,-63.44,-62.97,-46.45,-40.91,-36.45,-32.35,-31.71,-30.27,-15.03,-13.1,-57.62,-50.044,-37.268
Q14240,P11172,87.1,92.26,0,-62.69,-51.79,-47.68,-39.3,-36.85,-36.55,-27.61,-26.77,-26.68,-26.22,-54.05333333,-47.662,-38.214
Q9UEU0,Q14147,83.78,80.83,0,-63.97,-46.49,-43.17,-39.23,-37.08,-28.99,-28.37,-19.64,-5.94,-4.9,-51.21,-45.988,-31.778
Q02878,Q9UK41,83.32,92.16,0,-58.03,-52.04,-50.72,-45.78,-36.42,-25.16,-20.85,-19.67,-17.22,-13.03,-53.59666667,-48.598,-33.892
P23416,Q15119,84.44,91.12,0,-86.03,-70.69,-58.53,-57.68,-48.86,-45.03,-45.03,-44.45,-44.11,-26.73,-71.75,-64.358,-52.714
Q99963,P11464,88.79,86.67,0,-64.61,-54.36,-49.54,-44.04,-40.61,-40.39,-39.7,-39.65,-36.88,-25.04,-56.17,-50.632,-43.482
O96007,Q07507,84.6,85.37,0,-71.98,-63.63,-63.43,-60.37,-52.13,-51.36,-48.54,-47.48,-46.23,-39.4,-66.34666667,-62.308,-54.455
P05090,P53779,90.85,80.36,0,-52.05,-51.6,-47.35,-44.91,-42.76,-36.6,-36.14,-34.31,-27.88,-9.67,-50.33333333,-47.734,-38.327
P61769,Q86TW2,94.3,83.8,0,-53.01,-48.76,-48.42,-45.96,-40.09,-38.78,-34.91,-33.26,-32.49,-26.25,-50.06333333,-47.248,-40.193
Q15181,P56192,96.01,90.47,0,-46.14,-39.55,-30.81,-30.46,-30.17,-28.88,-26.29,-24.3,-22.35,-20.89,-38.83333333,-35.426,-29.984
P61956,P47929,83.46,96.87,0,-51.36,-43.52,-41.12,-40.88,-36.6,-32.99,-31.64,-27.62,-22.53,-22.26,-45.33333333,-42.696,-35.052
Q9UI14,O14787,81.99,91.18,0,-61.99,-60.58,-59.2,-57.49,-53.96,-49.81,-45.39,-44.39,-32.11,-19.31,-60.59,-58.644,-48.423
P18669,P09211,94.12,98.07,0,-62.42,-55.4,-50.81,-49.48,-48.28,-43.57,-43.39,-42.13,-42.13,-39.34,-56.21,-53.278,-47.695
P68104,Q96FE5,88.73,86.97,0,-63.73,-54.26,-53.31,-51.82,-47.88,-34.32,-34.1,-31.63,-30.09,-19.67,-57.1,-54.2,-42.081
Q9BTW9,P49448,90.55,90.57,0,-70.95,-54.38,-49.35,-40.11,-38.76,-38.74,-32.7,-31.24,-18.41,-6.77,-58.22666667,-50.71,-38.141
Q96CD2,Q969Z0,91.23,83.22,0,-65.54,-53.91,-48.36,-46.94,-41.98,-39.99,-37.76,-37.26,-32.33,-30.47,-55.93666667,-51.346,-43.454
O43172,P53779,82.32,80.36,0,-48.77,-46.85,-46.28,-43.85,-42.87,-32.45,-30.47,-27.06,-26.27,-21.15,-47.3,-45.724,-36.602
Q9NP59,P28328,80.51,81.08,0,-117.87,-106.89,-96.71,-87.33,-85.99,-83.64,-83.15,-76.22,-69.48,-52.87,-107.1566667,-98.958,-86.015
Q9NRC8,P42330,89.13,96.51,0,-69.21,-58.48,-56.89,-53.61,-48.08,-40.03,-38.38,-31.94,-30.42,-29.89,-61.52666667,-57.254,-45.693
Q15645,Q92990,86.98,88.43,0,-75.39,-64.54,-57.3,-47.66,-43.73,-43,-39.61,-36.51,-33.43,-32.94,-65.74333333,-57.724,-47.411
P14902,P36405,93.4,93.26,0,-44.76,-43,-38.3,-33.03,-32.21,-27.6,-27.28,-25.64,-23.6,-21.52,-42.02,-38.26,-31.694
O76003,O60671,88.49,89.08,0,-55.94,-42.5,-40.55,-40.1,-39.01,-37.52,-32.99,-25.29,-21.49,-4.27,-46.33,-43.62,-33.966
O00329,Q9BPX5,87.98,89.18,0,-56.3,-45.4,-40.42,-40.25,-35.98,-26.11,-23.38,-20.28,-19.43,-16.79,-47.37333333,-43.67,-32.434
P62310,Q96BK8,89.46,85.13,0,-76.18,-56,-44.36,-41.38,-37.72,-32.72,-32.18,-31.88,-29.81,-20.89,-58.84666667,-51.128,-40.312
Q7Z7H8,P42772,83.49,90.76,0,-68.06,-65.58,-65.39,-62.62,-54.15,-51.52,-49.34,-48.8,-42.32,-28.46,-66.34333333,-63.16,-53.624
P35475,P68871,95.13,96.97,0,-71.83,-61.5,-56.2,-54.21,-51.73,-39.08,-33.28,-30.89,-30.38,-23.93,-63.17666667,-59.094,-45.303
P09466,A1L0T0,87.19,94.71,0,-65.66,-61.67,-56.94,-50.42,-44.63,-44.52,-43.51,-43.19,-41.93,-38.54,-61.42333333,-55.864,-49.101
Q9Y234,Q13510,91.38,92.05,0,-51.13,-45.65,-44.75,-41.39,-39.62,-31.72,-30.07,-29.75,-27.02,-20.21,-47.17666667,-44.508,-36.131
Q13838,Q13510,85.6,92.05,0,-62.01,-50.31,-48.99,-45.03,-38.27,-35.55,-33.4,-33.15,-30.26,-27.81,-53.77,-48.922,-40.478
Q6FI97,P06746,87.78,94.32,0,-42.76,-34.35,-33.9,-32.77,-26.57,-26.4,-25.87,-24.4,-18.17,-6.58,-37.00333333,-34.07,-27.177
O60512,P00491,88.72,94.05,0,-75.7,-73.85,-55.12,-49.44,-45.22,-43.63,-38.35,-31.64,-19.82,-15.15,-68.22333333,-59.866,-44.792
O43252,P32249,93.56,86.6,0,-80.34,-77.99,-65.5,-64.76,-59.67,-56.8,-54.51,-52.86,-52.46,-27.13,-74.61,-69.652,-59.202
P46779,P32249,92.37,86.6,0,-66.47,-58.91,-48.27,-45.71,-45.22,-43.74,-42.99,-31.82,-23.71,-23.6,-57.88333333,-52.916,-43.044
P57060,P11464,81.61,86.67,0,-44.94,-43.56,-42.76,-33.8,-32.46,-31.09,-30.75,-30.4,-22.47,-17.62,-43.75333333,-39.504,-32.985
O43504,O43427,96.55,92.48,0,-48.2,-44.15,-42.37,-36.92,-36.64,-33.79,-29.85,-29.22,-26.58,-21.64,-44.90666667,-41.656,-34.936
P48664,O43252,80.27,93.56,0,-88.88,-75.55,-72.64,-65.91,-65.82,-64.35,-60.87,-60.23,-50.69,-48.24,-79.02333333,-73.76,-65.318
Q96HD1,P84090,81.59,95.9,0,-56.92,-53.02,-50.87,-42.86,-40.96,-36.92,-32.15,-30.04,-29.33,-26.58,-53.60333333,-48.926,-39.965
P29762,Q15119,95.8,91.12,0,-65.84,-54.09,-51.15,-47.86,-45.19,-43.81,-38.48,-37.93,-36.5,-17.47,-57.02666667,-52.826,-43.832
P80098,Q6N063,85.58,94.05,0,-72,-57.5,-55.55,-45.73,-43.74,-35.33,-33.59,-31.01,-29.76,-29.29,-61.68333333,-54.904,-43.35
P34896,Q6P1K2,96.61,88.27,0,-72.76,-62.68,-61.15,-59.16,-51.45,-47.38,-41.82,-37.68,-37.48,-29.43,-65.53,-61.44,-50.099
Q99832,P08133,89.04,94.61,0,-60.8,-49.66,-45,-38.2,-38.12,-35.76,-25.3,-24.45,-10.75,-9.71,-51.82,-46.356,-33.775
P08559,Q8N6T7,94.75,87.96,0,-60.7,-40.39,-40.27,-32.44,-27.66,-27.63,-27.31,-18.89,-18.26,-15.95,-47.12,-40.292,-30.95
Q03393,P16152,96.14,97.92,0,-51.81,-48.78,-46.68,-43.91,-42.93,-41.46,-39.99,-30.67,-26.5,-25.98,-49.09,-46.822,-39.871
O95897,P15880,84.16,81.76,0,-69.24,-58.82,-57.76,-52.59,-45.6,-44.87,-36.38,-31.54,-31.17,1.81,-61.94,-56.802,-42.616
Q9Y276,Q15155,87.18,80.52,0,-106.58,-69.11,-44.8,-42.64,-38.31,-37.43,-29.43,-17.3,-15.43,-13.79,-73.49666667,-60.288,-41.482
Q8WVM8,Q9NXK8,85.96,89.21,0,-75.78,-65.61,-62.35,-55.21,-53.63,-52.6,-45.31,-34.8,-29.12,-21.57,-67.91333333,-62.516,-49.598
P0CG47,Q16842,93.71,86.19,0,-59.45,-51.15,-49.6,-41.78,-38.91,-35.99,-34.25,-32.89,-30.69,-23.29,-53.4,-48.178,-39.8
P43235,Q15843,95.09,91.13,0,-49.5,-35.64,-34.19,-31.41,-31.06,-28.88,-28.56,-26.09,-13.62,-10.72,-39.77666667,-36.36,-28.967
Q6IBE6,Q9Y3A3,88.34,91.29,0,-62.21,-59.49,-57.44,-54.4,-51.18,-48.8,-41.84,-41.11,-39.36,-33.24,-59.71333333,-56.944,-48.907
P49642,Q9UBS4,92.91,84.09,0,-53.29,-45.8,-44.59,-44.15,-42.56,-38.72,-36.92,-29.15,-20.48,6.84,-47.89333333,-46.078,-34.882
P67775,O95741,94.78,87.02,0,-64.73,-47.41,-37.49,-36.93,-31.15,-30.39,-22.2,-18.94,-1.72,4.84,-49.87666667,-43.542,-28.612
O60493,Q9NRX3,89.45,84.64,0,-60.6,-54.39,-50.66,-48.41,-48.12,-45,-42.1,-41.53,-38.7,-32.46,-55.21666667,-52.436,-46.197
